Время (с),A0 (В),A2 (В)
0.3216254711151123,1.667,2.706
0.3256254196166992,1.667,2.627
0.3256254196166992,1.667,2.490
0.32962465286254883,1.667,2.451
0.33362460136413574,1.686,2.314
0.33362460136413574,1.686,2.373
0.3376777172088623,1.686,2.176
0.3416776657104492,1.686,2.235
0.34572863578796387,1.725,2.451
0.34572863578796387,1.765,2.294
0.3497281074523926,1.784,2.294
0.3537778854370117,1.863,2.275
0.35777735710144043,1.980,2.353
0.35777735710144043,2.118,2.392
0.36182713508605957,2.255,2.431
0.3658263683319092,2.353,2.569
0.3698859214782715,2.471,2.529
0.37088584899902344,2.569,2.412
0.37488627433776855,2.608,2.451
0.37888598442077637,2.686,2.235
0.37888598442077637,2.667,2.078
0.38188624382019043,2.686,1.980
0.3864428997039795,2.627,1.824
0.39049625396728516,2.569,1.588
0.39049625396728516,2.490,1.510
0.3944969177246094,2.412,1.412
0.3985733985900879,2.314,1.373
0.40361833572387695,2.294,1.451
0.40361833572387695,2.275,1.686
0.40761780738830566,2.275,1.647
0.4116179943084717,2.314,1.804
0.4156193733215332,2.412,1.863
0.4156193733215332,2.471,1.882
0.4196176528930664,2.529,1.961
0.4236180782318115,2.569,2.078
0.4236180782318115,2.569,2.000
0.427722692489624,2.569,2.000
0.43172287940979004,2.549,2.000
0.43572402000427246,2.490,1.843
0.43572402000427246,2.471,1.980
0.4397239685058594,2.431,2.000
0.44379568099975586,2.392,2.059
0.447796106338501,2.333,2.098
0.44879651069641113,2.294,1.941
0.4517960548400879,2.255,1.882
0.4568502902984619,2.235,1.745
0.46092915534973145,2.196,1.510
0.46092915534973145,2.137,1.471
0.46492910385131836,2.078,1.431
0.46900129318237305,2.000,1.294
0.46900129318237305,2.000,1.373
0.47299957275390625,1.961,1.431
0.4770529270172119,2.000,1.627
0.48105382919311523,2.039,1.745
0.48105382919311523,2.098,1.863
0.48461318016052246,2.196,2.059
0.4896121025085449,2.235,1.961
0.49361252784729004,2.314,1.824
0.49361252784729004,2.373,1.863
0.49761295318603516,2.431,1.745
0.5016129016876221,2.549,1.784
0.505626916885376,2.608,1.765
0.505626916885376,2.647,1.686
0.5096259117126465,2.725,1.647
0.5136256217956543,2.804,1.569
0.5136256217956543,2.804,1.353
0.5176289081573486,2.843,1.039
0.5216295719146729,2.863,0.765
0.5257277488708496,2.843,0.627
0.5257277488708496,2.804,0.216
0.5297286510467529,2.784,0.098
0.5337791442871094,2.765,0.020
0.538832426071167,2.725,0.137
0.538832426071167,2.765,0.294
0.542830228805542,2.745,0.784
0.5468306541442871,2.784,1.078
0.5508661270141602,2.843,1.137
0.5508661270141602,2.941,1.490
0.5548908710479736,2.961,1.549
0.5588908195495605,3.039,1.725
0.5588908195495605,3.059,1.667
0.5633463859558105,3.098,1.961
0.5670108795166016,3.137,1.922
0.5710582733154297,3.137,2.020
0.5710582733154297,3.196,2.235
0.5750584602355957,3.216,2.235
0.5791027545928955,3.294,2.216
0.583606481552124,3.294,2.392
0.583606481552124,3.294,2.333
0.5876600742340088,3.235,2.196
0.5916614532470703,3.157,2.020
0.5957260131835938,3.039,1.863
0.5957260131835938,2.902,1.706
0.5997250080108643,2.745,1.667
0.6037249565124512,2.549,1.667
0.6037249565124512,2.412,1.784
0.6077249050140381,2.314,1.843
0.6117861270904541,2.216,2.078
0.6157820224761963,2.118,2.020
0.6167826652526855,2.078,2.039
0.6198379993438721,2.039,2.118
0.623837947845459,1.922,2.176
0.6288907527923584,1.922,1.843
0.6288907527923584,1.843,1.667
0.6328904628753662,1.824,1.451
0.6369664669036865,1.804,1.314
0.6409807205200195,1.824,1.118
0.6409807205200195,1.863,0.961
0.6449780464172363,1.863,1.098
0.6489779949188232,1.824,1.137
0.6489779949188232,1.804,1.255
0.6530239582061768,1.804,1.275
0.657073974609375,1.745,1.471
0.6610753536224365,1.725,1.431
0.6610753536224365,1.686,1.588
0.6650733947753906,1.686,1.725
0.6691272258758545,1.725,1.784
0.6731846332550049,1.706,1.824
0.6731846332550049,1.804,1.980
0.6771845817565918,1.863,1.902
0.6821894645690918,1.882,1.980
0.6821894645690918,1.941,2.039
0.6856985092163086,2.000,1.922
0.6896975040435791,1.941,1.824
0.6936976909637451,1.961,2.000
0.6936976909637451,2.000,1.961
0.6986992359161377,2.039,2.020
0.70269775390625,2.078,2.137
0.7066972255706787,2.176,2.294
0.7066972255706787,2.275,2.098
0.7107534408569336,2.412,2.235
0.7148041725158691,2.490,2.137
0.7188026905059814,2.510,2.078
0.7188026905059814,2.588,2.000
0.7228024005889893,2.686,1.980
0.7268028259277344,2.686,1.980
0.7268028259277344,2.706,1.902
0.7308452129364014,2.784,1.961
0.734905481338501,2.824,1.980
0.738903284072876,2.804,2.020
0.738903284072876,2.745,2.196
0.7429039478302002,2.706,2.157
0.7469024658203125,2.627,2.216
0.7514619827270508,2.510,2.176
0.7514619827270508,2.412,2.353
0.7555046081542969,2.392,2.373
0.7595031261444092,2.392,2.529
0.7640097141265869,2.333,2.745
0.7640097141265869,2.314,3.000
0.7680096626281738,2.353,3.176
0.7715668678283691,2.333,3.235
0.7715668678283691,2.412,3.275
0.7755649089813232,2.510,3.196
0.779653787612915,2.608,3.176
0.7836534976959229,2.745,3.157
0.7846543788909912,2.863,2.941
0.7883100509643555,2.980,2.843
0.7923166751861572,3.059,2.706
0.7963159084320068,3.196,2.667
0.7963159084320068,3.196,2.510
0.8003156185150146,3.333,2.353
0.8043162822723389,3.412,2.471
0.8083162307739258,3.529,2.392
0.8083162307739258,3.588,2.294
0.8123161792755127,3.686,2.314
0.8173160552978516,3.745,2.176
0.8173160552978516,3.765,2.235
0.8214194774627686,3.784,2.235
0.8254208564758301,3.765,2.294
0.8294191360473633,3.725,2.235
0.8294191360473633,3.745,2.392
0.8334228992462158,3.647,2.392
0.8374748229980469,3.667,2.314
0.8414754867553711,3.588,2.353
0.8414754867553711,3.569,2.294
0.8459794521331787,3.490,2.235
0.8495628833770752,3.451,2.137
0.8541862964630127,3.353,2.157
0.8541862964630127,3.255,2.216
0.8581914901733398,3.294,2.275
0.8621923923492432,3.235,2.510
0.8621923923492432,3.216,2.647
0.8657007217407227,3.255,2.725
0.8697865009307861,3.314,2.804
0.873870849609375,3.392,2.902
0.873870849609375,3.412,2.863
0.8778705596923828,3.451,2.667
0.8828694820404053,3.412,2.725
0.8869562149047852,3.392,2.765
0.8869562149047852,3.294,2.510
0.8910176753997803,3.176,2.549
0.8950836658477783,3.059,2.588
0.899085283279419,2.902,2.569
0.899085283279419,2.784,2.510
0.903083086013794,2.745,2.490
0.9070820808410645,2.647,2.412
0.9070820808410645,2.667,2.235
0.9111347198486328,2.627,2.137
0.9151358604431152,2.569,2.020
0.9192290306091309,2.549,1.922
0.9192290306091309,2.451,1.824
0.9232280254364014,2.412,1.863
0.927227258682251,2.314,1.824
0.9312279224395752,2.235,1.843
0.9312279224395752,2.157,1.843
0.9352271556854248,2.039,1.882
0.9402267932891846,2.059,2.059
0.9441826343536377,1.961,2.098
0.9441826343536377,1.863,2.275
0.9481875896453857,1.706,2.451
0.9522387981414795,1.765,2.353
0.9522387981414795,1.686,2.412
0.9562387466430664,1.627,2.627
0.9602389335632324,1.588,2.608
0.9642393589019775,1.490,2.588
0.9642393589019775,1.431,2.627
0.9682943820953369,1.431,2.608
0.9722983837127686,1.392,2.686
0.9762983322143555,1.392,2.706
0.9762983322143555,1.431,2.647
0.9802982807159424,1.510,2.765
0.9848020076751709,1.549,2.902
0.9885876178741455,1.569,2.882
0.9885876178741455,1.647,2.902
0.9926340579986572,1.686,2.863
0.9966330528259277,1.725,2.824
0.9976859092712402,1.824,2.863
1.0016860961914062,1.882,2.706
1.0056838989257812,1.961,2.706
1.0097298622131348,2.000,2.451
1.0097298622131348,2.039,2.392
1.0137300491333008,2.098,2.333
1.0177314281463623,2.157,2.078
1.0217318534851074,2.176,2.098
1.0217318534851074,2.235,2.078
1.0257322788238525,2.235,1.941
1.0297369956970215,2.294,1.941
1.0337347984313965,2.275,1.941
1.0337347984313965,2.294,1.902
1.0377373695373535,2.235,2.020
1.04178786277771,2.196,2.039
1.042788028717041,2.098,2.157
1.0467877388000488,2.000,2.157
1.0507872104644775,1.882,2.176
1.0547876358032227,1.765,2.098
1.0547876358032227,1.686,2.039
1.0588603019714355,1.647,2.137
1.0628612041473389,1.647,2.235
1.0668604373931885,1.647,2.333
1.0668604373931885,1.667,2.314
1.0708646774291992,1.725,2.529
1.0748653411865234,1.804,2.647
1.0789594650268555,1.902,2.706
1.0789594650268555,1.961,2.667
1.0829582214355469,2.039,2.725
1.0875310897827148,2.137,2.745
1.0875310897827148,2.216,2.490
1.0915296077728271,2.333,2.353
1.0955302715301514,2.392,2.176
1.0995287895202637,2.490,1.941
1.0995287895202637,2.608,1.922
1.103593349456787,2.686,1.843
1.1076610088348389,2.745,1.765
1.1116619110107422,2.824,1.686
1.1116619110107422,2.922,1.686
1.115661382675171,2.941,1.451
1.1196608543395996,3.020,1.471
1.123732328414917,3.039,1.529
1.1247317790985107,3.020,1.431
1.1277318000793457,3.000,1.353
1.1327791213989258,2.961,1.569
1.1327791213989258,2.824,1.529
1.1367321014404297,2.824,1.608
1.1407792568206787,2.784,1.686
1.144779920578003,2.765,1.725
1.144779920578003,2.804,1.765
1.1488277912139893,2.902,1.745
1.1528270244598389,2.980,1.804
1.1568865776062012,3.020,1.784
1.1568865776062012,3.039,1.608
1.1608891487121582,3.078,1.627
1.1649413108825684,3.078,1.784
1.1649413108825684,3.059,1.588
1.1689395904541016,3.118,1.549
1.172987937927246,3.157,1.588
1.176987886428833,3.196,1.569
1.176987886428833,3.216,1.490
1.1818430423736572,3.216,1.510
1.185356616973877,3.157,1.333
1.189415454864502,3.098,1.353
1.189415454864502,3.059,1.412
1.1934151649475098,3.000,1.451
1.1974666118621826,3.000,1.490
1.201521396636963,2.961,1.510
1.201521396636963,3.020,1.725
1.2055208683013916,3.039,1.667
1.2105212211608887,3.098,1.686
1.2105212211608887,3.137,1.686
1.2145757675170898,3.059,1.765
1.2186274528503418,3.098,1.745
1.2226271629333496,2.980,1.843
1.2226271629333496,2.784,2.216
1.2266273498535156,2.745,2.137
1.2306275367736816,2.647,2.255
1.234626293182373,2.510,2.451
1.234626293182373,2.373,2.529
1.2386274337768555,2.235,2.431
1.2426283359527588,2.098,2.549
1.2466332912445068,1.824,2.588
1.247633934020996,1.510,2.569
1.2506330013275146,1.235,2.569
1.2557017803192139,1.059,2.471
1.2557017803192139,0.882,2.373
1.2597804069519043,0.686,2.392
1.2634010314941406,0.588,2.176
1.2674007415771484,0.510,2.020
1.2674007415771484,0.392,1.843
1.271453857421875,0.255,1.882
1.2754533290863037,0.078,1.902
1.2795686721801758,0.078,1.902
1.2795686721801758,0.078,2.059
1.2836287021636963,0.059,2.275
1.2881386280059814,0.059,2.412
1.292140007019043,0.059,2.510
1.292140007019043,0.078,2.647
1.296138048171997,0.078,2.804
1.300137996673584,0.098,2.941
1.300137996673584,0.216,3.118
1.3041377067565918,0.431,3.157
1.308206558227539,0.588,3.333
1.3122060298919678,0.765,3.451
1.3122060298919678,0.922,3.569
1.3162670135498047,1.098,3.608
1.320265293121338,1.294,3.804
1.325324535369873,1.392,4.098
1.325324535369873,1.569,4.255
1.3293249607086182,1.784,4.294
1.3333747386932373,1.922,4.294
1.3371710777282715,2.118,4.294
1.3371710777282715,2.333,4.294
1.3411715030670166,2.471,4.294
1.3451719284057617,2.608,4.294
1.3451719284057617,2.706,4.294
1.3492228984832764,2.804,4.294
1.3532226085662842,2.922,4.294
1.3572227954864502,3.039,4.314
1.3582234382629395,3.118,4.314
1.3612229824066162,3.255,4.314
1.3652870655059814,3.314,4.314
1.3702874183654785,3.392,4.294
1.3702874183654785,3.431,4.294
1.3742914199829102,3.392,4.098
1.3782918453216553,3.373,3.078
1.3823552131652832,3.333,2.137
1.3823552131652832,3.333,1.510
1.3858604431152344,3.333,0.706
1.3908650875091553,3.314,0.039
1.3908650875091553,3.392,0.000
1.3949377536773682,3.412,0.000
1.3989365100860596,3.471,0.000
1.4029853343963623,3.510,0.000
